formattedTitle, collected, releaseDate, releaseMSRP, dateCollected, collectedPrice,notes
007 Racing (PS1),TRUE,,,8/7/2023,10,
007 : Tomorrow Never Dies,TRUE,,,9/7/2023,3.75,
007 : The World Is Not Enough,FALSE,,,,,
101 Dalmatians II: Patch's London Adventure,FALSE,,,,,
102 Dalmatians: Puppies to the Rescue,FALSE,,,,,
16 Tales,FALSE,,,,,
16 Tales 2,FALSE,,,,,
2 on 2 Open Ice Challenge,TRUE,,,8/1/2023,26.96,
2002 FIFA World Cup,FALSE,,,,,
2Xtreme,FALSE,,,,,
3D Baseball,FALSE,,,,,
3Xtreme,TRUE,,,7/25/2023,3.5,
40 Winks: Conquer Your Dreams,FALSE,,,,,
A-Train,FALSE,,,,,
Ace Combat 2,FALSE,,,,,
Ace Combat 3: Electrosphere,FALSE,,,,,
Aces of the Air,TRUE,,,8/5/2023,6,
Action Bass,FALSE,,,,,
Action Man: Operation Extreme,FALSE,,,,,
Adidas Power Soccer,FALSE,,,,,
Adidas Power Soccer 98,FALSE,,,,,
The Adventures of Lomax,FALSE,,,,,
Agile Warrior F-111X,FALSE,,,,,
Air Combat,FALSE,,,,,
Air Hockey,FALSE,,,,,
Akuji the Heartless,FALSE,,,,,
Alexi Lalas International Soccer,FALSE,,,,,
Alien Resurrection,FALSE,,,,,
Alien Trilogy,TRUE,,,12/1/2023,24.99,
All-Star Racing,FALSE,,,,,
All-Star Racing 2,FALSE,,,,,
All-Star Slammin' D-Ball,FALSE,,,,,
Allied General,FALSE,,,,,
Alone in the Dark: One-Eyed Jack's Revenge,FALSE,,,,,
Alone in the Dark : The New Nightmare,FALSE,,,,,
Alundra,FALSE,,,,,
Alundra 2 : A New Legend Begins,FALSE,,,,,
The Amazing Virtual Sea-Monkeys,FALSE,,,,,
American Pool,FALSE,,,,,
Andretti Racing,TRUE,,,7/25/2023,4,
Animaniacs: Ten Pin Alley,FALSE,,,,,
Animorphs: Shattered Reality,FALSE,,,,,
Ape Escape,FALSE,,,,,
Apocalypse,TRUE,,,8/1/2023,20,
Arc the Lad Collection,FALSE,,,,,
Aquanaut's Holiday,FALSE,,,,,
Arcade Party Pak,FALSE,,,,,
Arcade's Greatest Hits: The Atari Collection 1,FALSE,,,,,
Arcade's Greatest Hits: The Atari Collection 2,FALSE,,,,,
Arcade's Greatest Hits: Midway Collection 2,FALSE,,,,,
Area 51,TRUE,,,7/26/2023,16,
Armored Core: Master of Arena,FALSE,,,,,
Armored Core,FALSE,,,,,
Armored Core: Project Phantasma,FALSE,,,,,
Armorines: Project S.W.A.R.M.,FALSE,,,,,
Army Men 3D,FALSE,,,,,
Army Men: Air Attack,TRUE,,,7/25/2023,6,
Army Men: Air Attack 2,TRUE,,,8/15/2023,10,
Army Men: Green Rogue,FALSE,,,,,
Army Men: Sarge's Heroes,FALSE,,,,,
Army Men: Sarge's Heroes 2,FALSE,,,,,
Army Men: World War,TRUE,,,7/31/2024,19.99,
Army Men: World War: Final Front,FALSE,,,,,
"Army Men: World War: Land, Sea, Air",FALSE,,,,,
Army Men: World War: Team Assault,FALSE,,,,,
Arthur! Ready to Race,FALSE,,,,,
Assault: Retribution,TRUE,,,9/7/2023,42.79,Sealed
Assault Rigs,FALSE,,,,,
Asteroids,TRUE,,,7/25/2023,4,
Atari Anniversary Edition Redux,FALSE,,,,,
Atlantis: The Lost Empire,TRUE,,,12/1/2023,29.99,
ATV Mania,FALSE,,,,,
ATV Quad Power Racing,FALSE,,,,,
ATV Racers,FALSE,,,,,
Austin Powers Pinball,FALSE,,,,,
Auto Destruct,FALSE,,,,,
Azure Dreams,FALSE,,,,,
Backstreet Billiards,TRUE,,,8/11/2023,8,
Backyard Soccer,TRUE,,,8/11/2023,8,
Baldies,FALSE,,,,,
Ball Breakers,TRUE,,,8/5/2023,3.4,
Ballblazer Champions,FALSE,,,,,
Ballerburg Castle Chaos,FALSE,,,,,
Ballistic,FALSE,,,,,
Barbie Explorer,FALSE,,,,,
Barbie Race & Ride,FALSE,,,,,
Barbie Super Sports,FALSE,,,,,
Barbie: Gotta Have Games,FALSE,,,,,
Baseball 2000,FALSE,,,,,
Bases Loaded '96,FALSE,,,,,
Bass Landing,FALSE,,,,,
Bass Rise,FALSE,,,,,
Batman & Robin,FALSE,,,,,
Batman Beyond: Return of the Joker,FALSE,,,,,
Batman Forever: The Arcade Game,FALSE,,,,,
Batman: Gotham City Racer,FALSE,,,,,
Battle Arena Toshinden,FALSE,,,,,
Battle Arena Toshinden 2,FALSE,,,,,
Battle Arena Toshinden 3,FALSE,,,,,
Battle Hunter,FALSE,,,,,
Battlesport,FALSE,,,,,
Battle Stations,TRUE,,,8/5/2023,3.4,
Battletanx: Global Assault,FALSE,,,,,
Beast Wars: Transformers,FALSE,,,,,
Beyblade: Let It Rip,FALSE,,,,,
Beyond the Beyond,FALSE,,,,,
Big Air,FALSE,,,,,
Big Bass Fishing,FALSE,,,,,
Big Bass World Championship,TRUE,,,8/11/2023,7,
Big League Slugger Baseball,FALSE,,,,,
Billiards,TRUE,,,8/11/2023,0.01,
Big Strike Bowling,TRUE,,,8/11/2023,8,
Bio F.R.E.A.K.S.,TRUE,,,7/25/2023,8,
Black Bass With Blue Marlin,FALSE,,,,,
BLACK DAWN,FALSE,,,,,
Blade,FALSE,,,,,
Blades of Blood: Samurai Shodown III,FALSE,,,,,
Blast Chamber,TRUE,,,8/15/2023,10,
Blast Lacrosse,FALSE,,,,,
Blast Radius,FALSE,,,,,
Blaster Master: Blasting Again,FALSE,,,,,
Blasto,FALSE,,,,,
Blazing Dragons,FALSE,,,,,
Blockids,FALSE,,,,,
Blood Omen: Legacy of Kain,FALSE,,,,,
Bloody Roar,FALSE,,,,,
Bloody Roar 2,FALSE,,,,,
Blue's Clues: Blue's Big Musical,TRUE,,,7/25/2023,7,
Board Game Top Shop,FALSE,,,,,
Bob the Builder - Can We Fix It?,FALSE,,,,,
Bogey Dead 6,FALSE,,,,,
Bomberman Fantasy Race,FALSE,,,,,
Bomberman Party Edition,FALSE,,,,,
Bomberman World,FALSE,,,,,
The Bombing Islands,FALSE,,,,,
Boombots,FALSE,,,,,
Bottom of the 9th,FALSE,,,,,
Bottom of the 9th '97,FALSE,,,,,
Bottom of the 9th '99,FALSE,,,,,
Bowling,FALSE,,,,,
Boxing,FALSE,,,,,
BRAHMA Force: The Assault on Beltlogger 9,FALSE,,,,,
Brain Dead 13,FALSE,,,,,
Bratz Dress Up & Get Down,FALSE,,,,,
Brave Fencer Musashi,FALSE,,,,,
